Y,X,Z
565041.617,4479333.493,644.839
565047.126,4479326.947,644.550
565049.030,4479322.183,644.467
565051.148,4479320.510,643.681
565054.552,4479317.895,642.451
565060.466,4479315.856,639.783
565064.028,4479314.939,637.936
565066.252,4479316.071,637.291
565068.617,4479317.435,637.792
565071.124,4479320.376,638.067
565072.343,4479323.830,638.999
565076.513,4479328.050,636.993
565074.807,4479332.116,637.190
565074.896,4479336.912,639.176
565072.672,4479341.150,640.931
565073.129,4479343.848,641.601
565077.587,4479350.457,639.627
565081.207,4479357.275,636.552
565082.627,4479363.220,634.091
565088.612,4479365.356,631.060
565093.372,4479359.959,630.818
565096.405,4479357.984,630.780
565093.380,4479351.769,634.141
565095.402,4479348.089,634.639
565099.562,4479344.685,633.768
565101.899,4479345.586,632.725
565103.512,4479339.629,632.098
565099.057,4479330.323,630.424
565093.488,4479316.348,629.280
565095.437,4479313.249,629.067
565098.051,4479311.451,629.025
565101.569,4479311.216,630.019
565108.692,4479306.450,634.919
565114.103,4479304.672,637.240
565119.014,4479306.552,637.155
565121.305,4479309.460,635.488
565127.754,4479312.144,633.584
565133.743,4479319.042,629.920
565140.851,4479325.475,634.849
565147.233,4479326.696,637.063
565152.582,4479333.293,640.899
565158.658,4479339.521,643.356
565161.994,4479342.068,644.180
565167.658,4479353.459,644.206
565164.671,4479363.694,644.414
565159.648,4479367.245,644.494
565149.314,4479365.682,638.582
565144.911,4479363.950,636.165
565142.156,4479361.632,634.943
565137.979,4479361.098,632.602
565134.104,4479366.325,631.745
565131.828,4479371.753,631.915
565128.625,4479375.552,631.091
565124.254,4479375.870,629.212
565122.001,4479374.473,627.547
565098.195,4479356.854,629.304
565095.762,4479352.193,629.505
565099.182,4479347.604,629.555
565105.733,4479349.382,628.608
565095.631,4479312.876,628.281
565097.544,4479311.348,628.400
