X,Y,Z
4482960.363,556685.998,634.249
4482976.467,556701.276,634.294
4482998.249,556717.398,634.616
4483007.190,556724.483,634.724
4483008.304,556724.845,634.384
4483017.947,556728.809,634.351
4483027.074,556732.602,634.215
4483037.064,556742.389,634.313
4483030.312,556756.892,634.269
4483022.457,556750.680,634.094
4483014.597,556741.802,634.275
4483007.263,556737.061,634.377
4483006.182,556737.361,634.577
4482986.800,556731.095,634.480
4482976.181,556719.879,634.338
4482962.373,556708.637,634.189
4482946.268,556697.556,634.187
4482931.831,556686.186,634.221
4482913.333,556672.518,634.210
4482905.089,556661.545,634.212
4482893.788,556651.333,634.156
4482880.023,556642.261,634.454
4482871.481,556628.115,634.288
4482860.983,556621.891,634.378
4482852.612,556641.292,634.324
4482849.479,556641.462,634.821
4482862.967,556647.985,634.232
4482874.971,556658.912,634.248
4482893.897,556675.377,634.226
4482906.611,556683.852,634.155
4482915.065,556701.954,634.125
4482925.239,556714.046,634.229
4482938.742,556724.260,634.190
4482955.638,556737.861,634.167
4482968.803,556748.096,634.162
4482981.109,556757.826,634.279
4482987.273,556764.582,634.368
4482988.540,556765.318,634.103
4482996.009,556769.291,634.043
4483004.768,556776.142,634.169
4482992.348,556787.706,634.092
4482985.779,556782.881,634.087
4482991.205,556779.014,634.105
4482985.092,556772.069,634.135
4482983.188,556771.387,634.318
4482976.132,556778.099,634.339
4482977.462,556779.800,634.044
4482959.636,556780.974,634.157
4482965.800,556771.612,634.300
4482951.060,556759.375,634.146
4482940.304,556774.085,634.025
4482925.312,556766.036,634.020
4482934.518,556751.711,634.055
4482920.174,556739.319,634.088
4482909.127,556749.576,633.950
4482899.024,556737.834,634.030
4482909.484,556731.343,634.070
4482902.613,556717.999,634.077
4482890.191,556724.946,634.043
4482880.386,556715.291,634.109
4482897.344,556704.613,634.190
4482888.099,556692.725,634.172
4482871.454,556704.043,634.123
4482865.793,556693.529,634.126
4482882.879,556681.754,634.160
4482869.611,556671.215,634.335
4482857.233,556683.541,634.119
4482850.438,556676.268,634.189
4482861.278,556667.780,634.178
4482847.598,556661.540,634.273
4482848.461,556668.009,634.199
4482848.071,556675.374,634.540
4482845.698,556668.216,634.607
4482844.441,556660.632,634.682
4482848.086,556673.803,634.464
4482856.127,556685.602,634.549
4482869.166,556702.707,634.396
4482870.574,556702.570,634.127
4482890.002,556693.120,634.151
4482906.385,556690.731,634.153
4482920.319,556690.956,634.166
4482933.745,556673.735,634.160
4482943.716,556658.522,634.112
4482957.298,556647.061,634.459
4482970.314,556635.459,634.361
4482982.751,556627.579,634.711
4482988.183,556615.982,634.481
4482997.816,556602.609,634.641
4483001.299,556585.060,634.853
4483006.831,556569.560,634.796
4483021.183,556558.783,634.896
4483032.229,556546.887,634.945
4483041.170,556525.257,634.973
4483044.915,556507.551,635.163
4483055.256,556492.037,635.348
4483064.546,556476.120,635.486
4483078.246,556461.440,635.516
4483088.326,556447.557,635.524
4483107.736,556424.376,635.660
4483118.611,556404.942,635.796
4483127.366,556394.500,635.869
4483137.031,556379.482,635.840
4483150.633,556356.900,636.028
4483158.306,556343.521,636.134
4483169.738,556328.523,636.298
4483174.876,556328.765,636.469
4483178.731,556304.525,636.396
4483176.268,556288.947,636.399
4483179.435,556276.794,636.406
4483183.472,556262.502,636.433
4483189.117,556235.868,636.612
4483192.795,556223.813,636.672
4483029.215,556307.159,635.560
4483032.512,556308.567,635.530
4483139.167,556323.237,636.280
4483132.989,556326.377,636.270
4483132.574,556331.822,636.250
4483132.583,556342.717,636.270
4483125.757,556346.926,636.280
4483122.320,556346.034,636.280
4483121.504,556333.741,636.320
4483118.078,556338.187,636.110
4483113.214,556343.565,636.140
4483108.710,556336.571,636.050
4483108.042,556326.848,636.220
4483097.300,556334.256,636.020
4483075.249,556316.572,635.830
4483070.417,556320.482,636.050
4483068.030,556312.644,635.860
4483069.015,556302.404,635.940
4483077.227,556303.887,635.950
4483082.604,556305.123,635.970
4483067.353,556299.713,635.810
4483059.577,556295.948,635.960
4483052.631,556295.530,635.720
4483054.557,556298.187,635.810
4483049.119,556299.122,635.810
4483047.502,556304.955,635.820
4483056.163,556304.714,635.840
4483059.136,556311.864,635.850
4483071.890,556313.503,635.950
4483084.521,556320.573,635.690
4483089.353,556327.252,636.010
4483094.219,556324.044,635.900
4483102.205,556329.185,636.060
4483116.399,556348.322,636.200
4483111.601,556352.848,636.070
4483100.071,556354.843,636.170
4483092.178,556361.305,635.940
4483088.353,556357.322,635.990
4483080.235,556368.560,635.850
4483076.531,556356.364,635.820
4483074.240,556350.779,635.800
4483072.679,556369.869,635.790
4483066.265,556365.424,635.730
4483067.048,556373.150,635.670
4483061.742,556371.816,635.600
4483059.296,556379.475,635.580
4483056.284,556376.719,635.670
4483052.752,556370.964,635.780
4483049.285,556364.795,635.640
4483050.991,556382.619,635.760
4483044.165,556382.954,635.650
4483020.421,556394.929,635.430
4483015.002,556393.238,635.460
4483008.985,556391.470,635.480
4483005.915,556394.290,635.470
4483001.646,556396.000,635.490
4483007.083,556383.191,635.510
4483011.331,556381.583,635.500
4483014.243,556380.473,635.500
4483022.201,556310.293,635.670
4483015.228,556323.991,635.670
4483002.329,556336.871,635.380
4483008.134,556340.055,635.340
4483016.285,556341.724,635.430
4483025.727,556343.631,635.460
4483030.356,556341.353,635.490
4483039.884,556336.136,635.440
4483048.669,556330.893,635.560
4483056.583,556325.341,635.610
4483065.652,556317.125,635.780
4483085.726,556312.192,635.870
4483100.162,556324.405,635.950
4483113.283,556332.525,636.000
