"Y,""X"",""Z"""
"556374.201,""4483134.680"",""636.032"""
"556377.418,""4483137.471"",""635.888"""
"556379.148,""4483140.331"",""635.954"""
"556379.762,""4483140.854"",""636.037"""
"556383.611,""4483124.749"",""635.950"""
"556387.680,""4483131.383"",""635.898"""
"556390.128,""4483133.991"",""635.902"""
"556390.585,""4483134.439"",""635.931"""
"556399.349,""4483143.673"",""635.926"""
"556404.069,""4483152.868"",""635.886"""
"556395.172,""4483162.653"",""635.869"""
"556399.684,""4483171.178"",""635.998"""
"556410.944,""4483160.618"",""635.907"""
"556419.165,""4483152.468"",""635.959"""
"556415.718,""4483142.488"",""635.848"""
"556411.640,""4483131.774"",""635.815"""
"556402.758,""4483123.671"",""635.860"""
"556402.238,""4483123.011"",""635.784"""
"556400.748,""4483121.130"",""635.810"""
"556400.461,""4483120.775"",""635.874"""
"556395.644,""4483112.250"",""635.868"""
"556391.956,""4483105.820"",""635.970"""
"556400.963,""4483100.768"",""635.761"""
"556407.932,""4483108.793"",""635.827"""
"556411.677,""4483112.793"",""635.803"""
"556412.119,""4483113.568"",""635.765"""
"556413.496,""4483115.248"",""635.795"""
"556413.970,""4483115.423"",""635.850"""
"556421.155,""4483123.796"",""635.780"""
"556425.863,""4483134.361"",""635.806"""
"556434.074,""4483143.376"",""635.783"""
"556448.011,""4483137.396"",""635.850"""
"556442.921,""4483125.557"",""635.721"""
"556438.322,""4483113.801"",""635.719"""
"556435.095,""4483107.662"",""635.693"""
"556432.971,""4483104.489"",""635.770"""
"556432.587,""4483103.998"",""635.691"""
"556431.598,""4483101.887"",""635.586"""
"556431.353,""4483101.641"",""635.675"""
"556429.951,""4483096.063"",""635.633"""
"556433.123,""4483084.507"",""635.657"""
"556440.727,""4483092.879"",""635.648"""
"556441.109,""4483093.122"",""635.549"""
"556443.568,""4483095.427"",""635.631"""
"556444.173,""4483095.905"",""635.677"""
"556451.225,""4483105.382"",""635.604"""
"556459.749,""4483117.753"",""635.690"""
"556397.591,""4482990.754"",""635.377"""
"556397.132,""4482980.691"",""635.342"""
"556407.359,""4482982.013"",""635.338"""
"556413.814,""4482992.619"",""635.344"""
"556423.744,""4483002.007"",""635.268"""
"556430.527,""4483013.164"",""635.329"""
"556440.501,""4483021.996"",""635.396"""
"556447.905,""4483033.577"",""635.365"""
"556453.829,""4483048.159"",""635.444"""
"556463.404,""4483058.103"",""635.426"""
"556470.794,""4483065.767"",""635.500"""
"556472.272,""4483067.534"",""635.469"""
"556473.745,""4483069.290"",""635.473"""
"556474.817,""4483070.512"",""635.514"""
"556486.299,""4483080.575"",""635.409"""
"556495.238,""4483093.607"",""635.270"""
"556498.340,""4483110.269"",""635.350"""
"556504.777,""4483124.750"",""635.572"""
"556512.082,""4483133.932"",""635.525"""
"556518.898,""4483143.149"",""635.595"""
"556532.878,""4483139.068"",""635.415"""
"556526.677,""4483125.490"",""635.327"""
"556521.904,""4483105.131"",""635.345"""
"556511.940,""4483094.720"",""635.470"""
"556507.476,""4483081.802"",""635.180"""
"556498.532,""4483068.716"",""635.310"""
"556487.915,""4483062.472"",""635.396"""
"556486.863,""4483060.278"",""635.385"""
"556485.547,""4483058.224"",""635.370"""
"556485.166,""4483057.668"",""635.419"""
"556480.417,""4483049.070"",""635.396"""
"556473.382,""4483039.924"",""635.299"""
"556466.330,""4483029.757"",""635.256"""
"556458.855,""4483019.829"",""635.247"""
"556451.673,""4483009.712"",""635.300"""
"556443.691,""4483000.666"",""635.236"""
"556435.544,""4482990.846"",""635.206"""
"556427.954,""4482982.590"",""635.203"""
"556425.125,""4482974.263"",""635.208"""
"556419.386,""4482967.064"",""635.261"""
"556417.185,""4482961.218"",""635.276"""
"556412.114,""4482960.633"",""635.262"""
"556422.568,""4482955.902"",""635.204"""
"556427.137,""4482960.662"",""635.177"""
"556440.559,""4482968.724"",""635.084"""
"556449.465,""4482979.630"",""635.142"""
"556459.353,""4482989.890"",""635.236"""
"556469.842,""4483001.207"",""635.160"""
"556481.073,""4483014.535"",""635.195"""
"556492.369,""4483028.236"",""635.182"""
"556498.210,""4483037.572"",""635.258"""
"556502.952,""4483045.974"",""635.256"""
"556503.129,""4483046.271"",""635.208"""
"556504.107,""4483048.545"",""635.184"""
"556504.619,""4483049.298"",""635.265"""
"556512.786,""4483057.022"",""635.185"""
"556517.966,""4483067.125"",""635.239"""
"556526.342,""4483079.307"",""635.249"""
"556536.059,""4483090.003"",""635.227"""
"556544.637,""4483101.989"",""635.245"""
"556549.704,""4483115.025"",""635.331"""
"556554.239,""4483126.896"",""635.249"""
"556566.133,""4483119.437"",""635.316"""
"556564.554,""4483110.914"",""635.380"""
"556560.814,""4483102.661"",""635.214"""
"556558.178,""4483094.781"",""635.181"""
"556555.250,""4483085.681"",""635.273"""
"556545.609,""4483073.858"",""635.252"""
"556536.991,""4483067.091"",""635.163"""
"556521.123,""4483051.190"",""635.129"""
"556515.521,""4483044.789"",""635.147"""
"556512.103,""4483037.254"",""635.175"""
"556506.702,""4483024.536"",""635.316"""
"556496.871,""4483011.461"",""635.119"""
"556489.797,""4482998.028"",""635.116"""
"556479.443,""4482987.047"",""635.140"""
"556471.395,""4482976.765"",""635.103"""
"556459.949,""4482966.207"",""635.087"""
"556448.865,""4482951.977"",""635.058"""
"556450.380,""4482939.299"",""635.046"""
"556460.331,""4482943.161"",""635.049"""
"556469.318,""4482953.158"",""635.043"""
"556479.155,""4482963.807"",""634.985"""
"556492.068,""4482976.763"",""634.898"""
"556501.200,""4482989.962"",""635.239"""
"556511.033,""4482999.844"",""635.172"""
"556522.511,""4483012.572"",""635.197"""
"556529.735,""4483024.440"",""635.147"""
"556539.371,""4483036.794"",""635.067"""
"556545.885,""4483051.289"",""634.876"""
"556556.159,""4483065.595"",""635.078"""
"556562.701,""4483076.119"",""635.128"""
"556572.966,""4483086.383"",""634.993"""
"556582.520,""4483095.547"",""635.162"""
"556586.601,""4483102.337"",""635.314"""
"556591.491,""4483108.436"",""634.920"""
"556601.708,""4483101.760"",""634.951"""
"556594.215,""4483090.866"",""635.076"""
"556585.673,""4483077.431"",""634.847"""
"556580.859,""4483065.280"",""635.044"""
"556574.452,""4483053.842"",""635.093"""
"556565.848,""4483043.868"",""635.046"""
"556558.184,""4483034.797"",""634.880"""
"556550.626,""4483023.987"",""634.964"""
"556540.727,""4483015.218"",""634.961"""
"556531.457,""4483007.186"",""635.008"""
"556521.145,""4482997.604"",""635.137"""
"556513.004,""4482986.245"",""635.109"""
"556503.497,""4482976.461"",""635.136"""
"556496.751,""4482967.095"",""635.088"""
"556489.334,""4482956.176"",""634.940"""
"556481.198,""4482947.357"",""635.022"""
"556473.962,""4482936.057"",""635.012"""
"556481.565,""4482927.762"",""634.882"""
"556480.580,""4482934.053"",""634.976"""
"556487.973,""4482937.386"",""634.922"""
"556495.904,""4482942.848"",""634.932"""
"556505.969,""4482954.608"",""634.938"""
"556511.494,""4482963.655"",""634.974"""
"556519.445,""4482975.628"",""635.107"""
"556530.188,""4482987.087"",""635.045"""
"556538.487,""4482999.578"",""634.972"""
"556552.520,""4483012.086"",""634.889"""
"556562.030,""4483025.728"",""634.863"""
"556570.528,""4483037.985"",""634.943"""
"556582.659,""4483048.090"",""634.990"""
"556590.658,""4483057.827"",""635.028"""
"556598.850,""4483069.578"",""634.839"""
"556604.960,""4483082.253"",""635.008"""
"556610.499,""4483090.748"",""634.903"""
"556621.183,""4483082.059"",""634.705"""
"556619.114,""4483075.373"",""634.715"""
"556613.070,""4483066.977"",""634.836"""
"556609.937,""4483053.482"",""635.009"""
"556600.100,""4483039.426"",""634.905"""
"556593.840,""4483027.446"",""634.875"""
"556589.332,""4483014.001"",""634.886"""
"556578.934,""4483000.610"",""634.771"""
"556563.880,""4482989.810"",""634.856"""
"556554.030,""4482980.633"",""634.818"""
"556544.339,""4482970.961"",""634.951"""
"556531.931,""4482960.523"",""634.929"""
"556524.033,""4482949.893"",""634.877"""
"556517.530,""4482941.015"",""634.995"""
"556507.403,""4482925.256"",""634.897"""
"556496.531,""4482915.313"",""634.869"""
"556494.834,""4482914.121"",""635.626"""
"556494.604,""4482908.470"",""635.418"""
"556484.056,""4482910.487"",""635.627"""
"556484.267,""4482917.658"",""635.770"""
"556484.717,""4482919.177"",""634.975"""
"556473.302,""4482919.994"",""634.876"""
"556473.347,""4482918.246"",""635.928"""
"556473.162,""4482912.939"",""635.819"""
"556460.394,""4482909.552"",""636.076"""
"556461.741,""4482914.448"",""636.131"""
"556462.704,""4482916.086"",""634.991"""
"556448.573,""4482921.898"",""635.226"""
"556448.225,""4482920.725"",""636.408"""
"556443.580,""4482915.244"",""636.323"""
"556435.214,""4482917.063"",""636.380"""
"556435.808,""4482923.935"",""636.510"""
"556436.445,""4482926.339"",""635.121"""
"556419.209,""4482922.695"",""636.518"""
"556417.944,""4482924.190"",""636.289"""
"556418.391,""4482926.072"",""635.166"""
"556397.981,""4482926.129"",""636.724"""
"556399.767,""4482931.327"",""636.319"""
"556401.937,""4482932.359"",""635.067"""
"556388.303,""4482945.174"",""636.172"""
"556394.059,""4482949.946"",""636.302"""
"556395.698,""4482950.308"",""635.398"""
"556388.566,""4482960.119"",""636.207"""
"556393.719,""4482960.801"",""636.206"""
"556396.101,""4482960.792"",""635.219"""
"556390.055,""4482966.568"",""636.171"""
"556392.101,""4482967.762"",""635.595"""
"556383.526,""4482971.126"",""635.368"""
"556380.558,""4482964.170"",""636.159"""
"556359.479,""4482972.557"",""636.334"""
"556362.313,""4482977.528"",""636.342"""
"556363.745,""4482978.788"",""635.381"""
"556344.941,""4482983.994"",""636.270"""
"556347.893,""4482987.509"",""636.403"""
"556349.363,""4482989.240"",""635.479"""
"556330.390,""4482995.534"",""636.263"""
"556331.990,""4483002.395"",""636.453"""
"556333.589,""4483003.937"",""635.514"""
"556320.714,""4483003.810"",""636.593"""
"556321.373,""4483008.446"",""636.441"""
"556323.656,""4483010.785"",""635.507"""
"556306.295,""4483006.959"",""636.493"""
"556312.151,""4483015.075"",""636.368"""
"556313.617,""4483016.383"",""635.393"""
"556292.296,""4483021.068"",""636.473"""
"556298.540,""4483027.605"",""636.248"""
"556301.057,""4483030.356"",""636.204"""
"556302.556,""4483031.406"",""635.584"""
"556280.083,""4483037.299"",""636.586"""
"556292.189,""4483043.269"",""636.171"""
"556296.278,""4483045.209"",""636.150"""
"556297.215,""4483045.390"",""635.700"""
"556274.728,""4483055.732"",""636.432"""
"556287.196,""4483060.030"",""636.316"""
"556290.213,""4483060.657"",""636.214"""
"556291.788,""4483060.899"",""635.744"""
"556290.886,""4483071.934"",""635.783"""
"556288.142,""4483073.539"",""636.347"""
"556278.929,""4483076.141"",""636.560"""
"556274.986,""4483076.394"",""636.923"""
"556270.400,""4483093.390"",""636.553"""
"556282.318,""4483091.779"",""636.850"""
"556283.531,""4483091.294"",""636.265"""
"556289.138,""4483090.103"",""636.186"""
"556290.416,""4483089.926"",""635.796"""
"556299.142,""4483090.764"",""635.830"""
"556307.263,""4483080.424"",""635.798"""
"556316.966,""4483076.499"",""635.800"""
"556299.515,""4483107.553"",""635.984"""
"556292.531,""4483107.766"",""636.053"""
"556289.531,""4483107.621"",""636.332"""
"556292.385,""4483110.839"",""636.200"""
"556286.680,""4483111.559"",""636.670"""
"556276.959,""4483114.782"",""636.528"""
"556281.551,""4483129.997"",""636.515"""
"556294.677,""4483128.075"",""636.489"""
"556295.425,""4483128.070"",""636.168"""
"556300.693,""4483124.756"",""636.169"""
"556297.733,""4483138.629"",""636.227"""
"556292.365,""4483137.714"",""636.321"""
"556291.355,""4483136.895"",""636.500"""
"556293.578,""4483134.643"",""636.548"""
"556295.082,""4483135.085"",""636.248"""
"556279.828,""4483138.592"",""636.441"""
"556282.732,""4483142.060"",""636.335"""
"556284.664,""4483143.680"",""636.197"""
"556566.571,""4482969.631"",""634.729"""
"556523.548,""4482900.711"",""635.033"""
